Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,22072021,1035628392,0001813
Trade Date <22-JUL-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,101745,60812,59.77
20,2,21STCENMGM,EQ,1111,1111,100.00
20,3,3MINDIA,EQ,4016,2369,58.99
20,4,5PAISA,EQ,43838,23196,52.91
20,5,63MOONS,EQ,142443,105039,73.74
20,6,667GS2050,GS,18796,16780,89.27
20,7,676GS2061,GS,10690,9700,90.74
20,8,706GS2046,GS,200,200,100.00
20,9,726GS2029,GS,1100,1100,100.00
20,10,737GS2023,GS,35,35,100.00
20,11,75GS2034,GS,100,100,100.00
20,12,763GS2059,GS,105,105,100.00
20,13,772GS2049,GS,109,109,100.00
20,14,772GS2055,GS,16,16,100.00
20,15,A2ZINFRA,EQ,616615,409618,66.43
20,16,AAATECH,SM,3000,3000,100.00
20,17,AAKASH,EQ,111749,40915,36.61
20,18,AARON,EQ,25408,10399,40.93
20,19,AARTIDRUGS,EQ,233113,78144,33.52
20,20,AARTIIND,EQ,1251334,588379,47.02
20,21,AARTISURF,EQ,10630,5253,49.42
20,22,AARVEEDEN,EQ,78531,48009,61.13
20,23,AARVI,EQ,100361,59998,59.78
20,24,AAVAS,EQ,62652,44618,71.22
20,25,ABAN,EQ,178298,143303,80.37
20,26,ABB,EQ,131419,103515,78.77
20,27,ABBOTINDIA,EQ,11590,8910,76.88
20,28,ABCAPITAL,EQ,2995176,1065094,35.56
20,29,ABFRL,EQ,5342484,1115156,20.87
20,30,ABINFRA,SM,44000,44000,100.00
20,31,ABMINTLTD,EQ,312,312,100.00
20,32,ABSLBANETF,EQ,278,231,83.09
20,33,ABSLNN50ET,EQ,5240,5099,97.31
20,34,ABSLRIF6RG,MF,50500,50500,100.00
20,35,ACC,EQ,1010305,219529,21.73
20,36,ACCELYA,EQ,96548,43064,44.60
20,37,ACCURACY,EQ,83180,51929,62.43
20,38,ACE,EQ,385960,169194,43.84
20,39,ACEINTEG,SM,12000,12000,100.00
20,40,ACRYSIL,EQ,37883,19223,50.74
20,41,ADANIENT,EQ,5009804,521231,10.40
20,42,ADANIPORTS,EQ,9740403,1939484,19.91
20,43,ADFFOODS,EQ,29990,13851,46.19
20,44,ADORWELD,EQ,25164,16713,66.42
20,45,ADSL,EQ,536089,257271,47.99
20,46,ADVANIHOTR,EQ,51822,22682,43.77
20,47,ADVENZYMES,EQ,144877,75592,52.18
20,48,AEGISCHEM,EQ,689277,393855,57.14
20,49,AGARIND,EQ,18724,13092,69.92
20,50,AGRITECH,EQ,17291,7055,40.80
20,51,AGROPHOS,EQ,70886,69891,98.60
20,52,AHLADA,EQ,52944,45906,86.71
20,53,AHLEAST,EQ,2383,1117,46.87
20,54,AHLUCONT,EQ,16298,8886,54.52
20,55,AHLWEST,EQ,37638,20471,54.39
20,56,AIAENG,EQ,15028,10648,70.85
20,57,AIROLAM,SM,12000,12000,100.00
20,58,AISL,SM,124800,105600,84.62
20,59,AJANTPHARM,EQ,56245,30191,53.68
20,60,AJOONI,EQ,31281,19953,63.79
20,61,AKASH,EQ,47949,41808,87.19
20,62,AKG,EQ,6684,5262,78.73
20,63,AKSHARCHEM,EQ,28518,14237,49.92
20,64,AKZOINDIA,EQ,9737,5798,59.55
20,65,ALANKIT,EQ,7460686,1845104,24.73
20,66,ALBERTDAVD,EQ,156280,45438,29.07
20,67,ALEMBICLTD,EQ,766534,184682,24.09
20,68,ALICON,EQ,42810,19244,44.95
