,Company Name,Industry,Symbol,Series,ISIN Code
0,AU Small Finance Bank Ltd.,FINANCIAL SERVICES,AUBANK,EQ,INE949L01017
1,Amara Raja Batteries Ltd.,AUTOMOBILE,AMARAJABAT,EQ,INE885A01032
2,Apollo Tyres Ltd.,AUTOMOBILE,APOLLOTYRE,EQ,INE438A01022
3,Ashok Leyland Ltd.,AUTOMOBILE,ASHOKLEY,EQ,INE208A01029
4,Balkrishna Industries Ltd.,AUTOMOBILE,BALKRISIND,EQ,INE787D01026
5,Bank of Baroda,FINANCIAL SERVICES,BANKBARODA,EQ,INE028A01039
6,Bank of India,FINANCIAL SERVICES,BANKINDIA,EQ,INE084A01016
7,Bata India Ltd.,CONSUMER GOODS,BATAINDIA,EQ,INE176A01028
8,Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING,BEL,EQ,INE263A01024
9,Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING,BHARATFORG,EQ,INE465A01025
10,Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING,BHEL,EQ,INE257A01026
11,Canara Bank,FINANCIAL SERVICES,CANBK,EQ,INE476A01014
12,Castrol India Ltd.,OIL & GAS,CASTROLIND,EQ,INE172A01027
13,Cholamandalam Investment and Finance Company Ltd.,FINANCIAL SERVICES,CHOLAFIN,EQ,INE121A01024
14,Coforge Ltd.,IT,COFORGE,EQ,INE591G01017
15,Container Corporation of India Ltd.,SERVICES,CONCOR,EQ,INE111A01025
16,Cummins India Ltd.,INDUSTRIAL MANUFACTURING,CUMMINSIND,EQ,INE298A01020
17,Escorts Ltd.,AUTOMOBILE,ESCORTS,EQ,INE042A01014
18,Exide Industries Ltd.,AUTOMOBILE,EXIDEIND,EQ,INE302A01020
19,Federal Bank Ltd.,FINANCIAL SERVICES,FEDERALBNK,EQ,INE171A01029
20,GMR Infrastructure Ltd.,CONSTRUCTION,GMRINFRA,EQ,INE776C01039
21,Glenmark Pharmaceuticals Ltd.,PHARMA,GLENMARK,EQ,INE935A01035
22,Godrej Properties Ltd.,CONSTRUCTION,GODREJPROP,EQ,INE484J01027
23,IDFC First Bank Ltd.,FINANCIAL SERVICES,IDFCFIRSTB,EQ,INE092T01019
24,Indiabulls Housing Finance Ltd.,FINANCIAL SERVICES,IBULHSGFIN,EQ,INE148I01020
25,Indian Railway Catering And Tourism Corporation Ltd.,SERVICES,IRCTC,EQ,INE335Y01012
26,Jindal Steel & Power Ltd.,METALS,JINDALSTEL,EQ,INE749A01030
27,L&T Finance Holdings Ltd.,FINANCIAL SERVICES,L&TFH,EQ,INE498L01015
28,LIC Housing Finance Ltd.,FINANCIAL SERVICES,LICHSGFIN,EQ,INE115A01026
29,Mahanagar Gas Ltd.,OIL & GAS,MGL,EQ,INE002S01010
30,Mahindra & Mahindra Financial Services Ltd.,FINANCIAL SERVICES,M&MFIN,EQ,INE774D01024
31,Manappuram Finance Ltd.,FINANCIAL SERVICES,MANAPPURAM,EQ,INE522D01027
32,Max Financial Services Ltd.,FINANCIAL SERVICES,MFSL,EQ,INE180A01020
33,MindTree Ltd.,IT,MINDTREE,EQ,INE018I01017
34,Page Industries Ltd.,TEXTILES,PAGEIND,EQ,INE761H01022
35,Power Finance Corporation Ltd.,FINANCIAL SERVICES,PFC,EQ,INE134E01011
36,RBL Bank Ltd.,FINANCIAL SERVICES,RBLBANK,EQ,INE976G01028
37,REC Ltd.,FINANCIAL SERVICES,RECLTD,EQ,INE020B01018
38,SRF Ltd.,CHEMICALS,SRF,EQ,INE647A01010
39,Shriram Transport Finance Co. Ltd.,FINANCIAL SERVICES,SRTRANSFIN,EQ,INE721A01013
40,Steel Authority of India Ltd.,METALS,SAIL,EQ,INE114A01011
41,Sun TV Network Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,SUNTV,EQ,INE424H01027
42,TVS Motor Company Ltd.,AUTOMOBILE,TVSMOTOR,EQ,INE494B01023
43,Tata Power Co. Ltd.,POWER,TATAPOWER,EQ,INE245A01021
44,The Ramco Cements Ltd.,CEMENT & CEMENT PRODUCTS,RAMCOCEM,EQ,INE331A01037
45,Torrent Power Ltd.,POWER,TORNTPOWER,EQ,INE813H01021
46,Union Bank of India,FINANCIAL SERVICES,UNIONBANK,EQ,INE692A01016
47,Vodafone Idea Ltd.,TELECOM,IDEA,EQ,INE669E01016
48,Voltas Ltd.,CONSUMER GOODS,VOLTAS,EQ,INE226A01021
49,Zee Entertainment Enterprises Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,ZEEL,EQ,INE256A01028
